Temp,DC 2018
320,0.483977
310,0.505726
300,0.5279
290,0.550448
280,0.573319
270,0.596461
260,0.619822
250,0.64335
240,0.666994
230,0.690703
220,0.714425
210,0.738108
200,0.7617
195,0.773446
190,0.78515
185,0.796806
180,0.808407
175,0.819947
170,0.831419
165,0.842817
160,0.854134
155,0.865364
150,0.8765
145,0.887536
140,0.898466
135,0.909283
130,0.919981
125,0.930553
120,0.940993
115,0.951294
110,0.96145
105,0.971454
100,0.9813
95,0.990982
90,1.000492
85,1.009826
80,1.018975
75,1.027934
70,1.036697
65,1.045256
60,1.053606
58,1.056885
56,1.06013
54,1.063339
52,1.066513
50,1.06965
48,1.072751
46,1.075814
44,1.07884
42,1.081828
40,1.084778
38,1.08769
36,1.090562
34,1.093394
32,1.096187
30,1.099397
29,1.10131
28,1.103158
27,1.105049
26,1.107092
25,1.109437
24,1.112356
23,1.116483
22,1.123834
21,1.138543
20,1.158316
19,1.177088
18,1.196977
17,1.216542
16,1.237602
15,1.260906
14.5,1.290835
14,1.307314
13.5,1.324584
13,1.342657
12.5,1.361545
12,1.381259
11.5,1.40181
11,1.42321
10.5,1.445469
10,1.4686
9.75,1.480496
9.5,1.492613
9.25,1.504954
9,1.51947
8.75,1.529925
8.5,1.541514
8.25,1.554095
8,1.567529
7.8,1.578794
7.6,1.590442
7.4,1.602401
7.2,1.614599
7,1.626963
6.8,1.639422
6.6,1.651903
6.4,1.664334
6.2,1.676643
6,1.688758
5.8,1.700607
5.6,1.712118
5.4,1.723219
5.2,1.733837
5,1.7439
4.9,1.748701
4.8,1.753337
4.7,1.757797
4.6,1.762074
4.5,1.766159
4.4,1.770045
4.3,1.774428
4.2,1.778703
4.1,1.782868
4,1.786922
3.9,1.790866
3.8,1.794699
3.7,1.798419
3.6,1.802026
3.5,1.80552
3.4,1.8089
3.3,1.812164
3.2,1.815313
3.1,1.818346
3,1.821261
2.9,1.824059
2.8,1.826738
2.7,1.829299
2.6,1.831739
2.5,1.834059
2.4,1.836258
2.3,1.838335
2.2,1.84029
2.1,1.842121
2,1.843829
1.95,1.844636
1.9,1.845412
1.85,1.846156
1.8,1.846869
1.75,1.847551
1.7,1.848201
1.65,1.848819
1.6,1.849406
1.55,1.849961
1.5,1.850484
1.45,1.850974
1.4,1.851433
1.35,1.851884
1.3,1.852346
1.25,1.852775
1.2,1.853171
1.15,1.853534
1.1,1.853864
1.05,1.854162
1,1.854426
0.98,1.854523
0.96,1.854614
0.94,1.8547
0.92,1.854781
0.9,1.854863
0.88,1.854938
0.86,1.855006
0.84,1.855065
0.82,1.855115
0.8,1.855158
