Temp,Voltage
500,0.090681
495,0.101454
490,0.112553
485,0.123915
480,0.13548
475,0.147191
470,0.15901
465,0.170901
460,0.182832
455,0.194789
450,0.206758
445,0.21873
440,0.230697
435,0.242653
430,0.254592
425,0.266514
420,0.278416
415,0.290298
410,0.302161
405,0.314008
400,0.325839
395,0.337654
390,0.349453
385,0.361235
380,0.373002
375,0.384757
370,0.396503
365,0.408237
360,0.41996
355,0.43167
350,0.443371
345,0.455067
340,0.46676
335,0.478442
330,0.490106
325,0.501744
320,0.513361
315,0.524961
310,0.536542
305,0.548102
300,0.559639
295,0.571151
290,0.582637
285,0.594097
280,0.605528
275,0.61693
273.15,0.621141
270,0.628302
265,0.639641
260,0.650949
255,0.662223
250,0.673462
245,0.684667
240,0.695834
235,0.706964
230,0.718054
225,0.729105
220,0.740115
215,0.751082
210,0.762007
205,0.772886
200,0.78372
195,0.794505
190,0.805242
185,0.815928
180,0.82656
175,0.837138
170,0.847659
165,0.85812
160,0.868518
155,0.878851
150,0.889114
145,0.899304
140,0.909416
135,0.919446
130,0.92939
125,0.939242
120,0.949
115,0.958657
110,0.968209
105,0.97765
100,0.986974
95,0.996174
90,1.005244
85,1.014181
80,1.022984
77.35,1.027594
75,1.031651
70,1.040183
65,1.048584
60,1.056862
58,1.060141
56,1.063403
54,1.06665
52,1.069881
50,1.073099
48,1.076303
46,1.079492
44,1.082669
42,1.085842
40,1.089024
39,1.090627
38,1.092244
37,1.093878
36,1.095534
35,1.097216
34,1.09893
33,1.100681
32,1.102476
31,1.104324
30,1.106244
29,1.108261
28,1.110421
27,1.11281
26,1.115658
25,1.119448
24,1.125923
23,1.140817
22,1.162797
21,1.181548
20,1.197748
19.5,1.20548
19,1.21311
18.5,1.2207
18,1.2283
17.5,1.23596
17,1.24372
16.5,1.25161
16,1.25967
15.5,1.26794
15,1.27645
14.5,1.28526
14,1.29439
13.5,1.3039
13,1.31381
12.5,1.32416
12,1.33499
11.5,1.34632
11,1.3582
10.5,1.37065
10,1.38373
9.5,1.39751
9,1.41207
8.5,1.42747
8,1.44374
7.5,1.46086
7,1.47868
6.5,1.49698
6,1.51541
5.8,1.52273
5.6,1.53
5.4,1.53721
5.2,1.54436
5,1.55145
4.8,1.55845
4.6,1.56533
4.4,1.57202
4.2,1.57848
4,1.58465
3.9,1.58764
3.8,1.59057
3.7,1.59344
3.6,1.59626
3.5,1.59902
3.4,1.60173
3.3,1.60438
3.2,1.60697
3.1,1.60951
3,1.612
2.9,1.61445
2.8,1.61687
2.7,1.61928
2.6,1.62166
2.5,1.624
2.4,1.62629
2.3,1.62852
2.2,1.63067
2.1,1.63274
2,1.63472
1.9,1.6366
1.8,1.63837
1.7,1.64003
1.6,1.64157
1.5,1.64299
1.4,1.64429
